Category,ProductName,Bloomberg Ticker,Brand,Store Type,SWA_Category 1,SWA_Category 2,YearMonth,Year,Month,Sales Unit,Sales Value
Stock,By-health,300146 CH EQUITY,Merryplus/每日每加,3rd Party,N/A,NULL/NULL,201708,2017,8,17,2333
Stock,Jiuzhou,000801 CH EQUITY,JEZETEK/九洲（电子）,Official Store,Audio and video/影音视听,Audio and Video Appliances Accessories/影音家电配件,201708,2017,8,2,17
Stock,ELLASSAY,603808 CH EQUITY,IRO ,3rd Party,Women's Branded Apparel/品牌女装,Original Brand/设计师原创品牌,201704,2017,4,1,2320
Stock,Sinoer,002485 CH EQUITY,MORDEL/美尔顿,Official Store,Mens's Branded Apparel/精品男装,Short-sleeved Shirt/短袖衬衫,201707,2017,7,3,503
Stock,BIEM.L.FDLKK,002832 CH EQUITY,BIEM.L.FDLKK/比音勒芬,3rd Party,Sports Apparel/运动服,Polo Shirt/polo衫,201708,2017,8,12,5760
Stock,Dong Yi Ri Sheng,002713 CH EQUITY,速美超级家,Official Store,Decoration services/装修服务,Decoration Design/装修设计,201708,2017,8,103,10257
Stock,Mendale Home,002397 CH EQUITY,梦洁家纺,Official Store,Residential furniture/office furniture/住宅家具/办公家具,Mattress/床垫,201708,2017,8,21,41439
Stock,Fuanna,002327 CH EQUITY,酷奇志,3rd Party,Home Textiles/Bedding/家纺/床上用品,Pillow/枕头/枕芯,201708,2017,8,222,18811
Stock,Jiugui Liquor,000799 CH EQUITY,酒鬼,Official Store,Wine/美酒,Chinese Liquor/中国白酒,201708,2017,8,1707,597343
Stock,Metersbonwe,002269 CH EQUITY,Me&City,Official Store,Sports Apparel/运动服,Windbreaker/风衣,201708,2017,8,68,36472
Stock,Yanjing Beer,000729 CH EQUITY,九龙斋,3rd Party,Drinks/冲饮,Drink/Vegetable Juice/Water/饮料/蔬果汁/水,201707,2017,7,1042,62340
Stock,Baoxiniao,002154 CH EQUITY,BONO/波诺,Official Store,Branded luggage/品牌箱包,Fashion Handbags/时尚女包,201706,2017,6,4,567
Stock,Lafang,603630 CH EQUITY,Betrue/缤纯,3rd Party,Face Care/面部护肤,Other Facial Skin Care/其他保养,201603,2016,3,1,2
Stock,ELLASSAY,603808 CH EQUITY,With Song/唯颂,Official Store,Women's shoes/时尚女鞋,Comfortable Flat Shoes/舒适平底单鞋,201708,2017,8,34,9641
Stock,Haier,600690 CH EQUITY,GE Appliance,3rd Party,Car/supplies/accessories/modified/汽车/用品/配件/改装,Auto Accessories/汽车配件,201708,2017,8,83,29386
Stock,Ming Jewelry,002574 CH EQUITY,明牌珠宝（MINGR 明）,Official Store,Jewelry/Diamond/Jade/Gold/珠宝/钻石/翡翠/黄金,Mall Edition/商场同款,201708,2017,8,41,54598
Stock,Onlly,600530 CH EQUITY,Onlly/天然元,3rd Party,Dietary supplement/保健食品/膳食营养补充食品,Vitamins/Minerals/维生素/矿物质,201708,2017,8,18,1401
Stock,Lonkey Industrial,000523 CH EQUITY,高富力,3rd Party,Household Cleaners/Tissues/家用清洁剂/纸品,Home Cleaning Agent/家庭清洁剂,201607,2016,7,6106,92363
Stock,Shunxin Agriculture,000860 CH EQUITY,宁城老窖,3rd Party,Wine/美酒,Chinese Liquor/中国白酒,201708,2017,8,63,6532
Stock,Shanghai Dragon,600630 CH EQUITY,钟牌414,3rd Party,Household Fabrics/居家布艺,Towel/Face Towel/毛巾/面巾,201708,2017,8,4994,63099
Stock,Gaugen,870909 CH EQUITY,COCQBBQ/酷烤,3rd Party,Cereal & Condiment/粮油调味,Condiment/调味品,201701,2017,1,65,1879
Stock,Jinzi Ham,002515 CH EQUITY,小老黄,3rd Party,Snacks/休闲零食,Pastry/Dessert/糕点/点心,201707,2017,7,760,28675
Stock,Semir,002563 CH EQUITY,YUANDIAN/原点,Official Store,Women's Branded Apparel/品牌女装,T-shirt/T恤,201706,2017,6,1,158
Stock,Fiyta,000026 CH EQUITY,Beijing/北京手表,Official Store,Branded Watch/Fashion Watch/品牌手表/时尚手表,Watch Strap/Accessories/表带/配件,201708,2017,8,23,4344
Stock,Yili,600887 CH EQUITY,金领冠,Official Store,Milk powder/food supplement/nutrition/奶粉/辅食/营养品,Infant Milk Powder/婴幼儿奶粉,201706,2017,6,294,93282
Stock,Suofeiya,002572 CH EQUITY,Sogal/索菲亚衣柜,3rd Party,Whole house custom funitures/全屋定制,Whole Wardrobe/整体衣柜,201708,2017,8,38,19000
Stock,Lancy,002612 CH EQUITY,marie n°mary/玛丽安玛丽,Official Store,Women's Branded Apparel/品牌女装,Windbreaker/风衣,201708,2017,8,4,496
Stock,Baoxiniao,002154 CH EQUITY,SOLOSALI/所罗,3rd Party,Mens's Branded Apparel/精品男装,Cotton Leisure Pants/全棉休闲裤,201701,2017,1,1,339
Stock,COFCO Tunhe,600737 CH EQUITY,COFCO Tunhe/中粮屯河,Official Store,Wine/美酒,Warm Body Wine/暖身黄酒,201708,2017,8,109,15833
Stock,Toly Bread,603866 CH EQUITY,Toly Bread/桃李面包,3rd Party,Snacks/休闲零食,Pastry/Dessert/糕点/点心,201706,2017,6,534,16092
Stock,Yili,600887 CH EQUITY,PURE NUTRA/培然,Official Store,Milk powder/food supplement/nutrition/奶粉/辅食/营养品,Infant Milk Powder/婴幼儿奶粉,201707,2017,7,2,1192
Stock,Hongdo,600400 CH EQUITY,Zuo,3rd Party,Sports Apparel/运动服,Short-sleeve T-shirt/短袖T恤,201708,2017,8,10,1533
Stock,NanJi E-Commerce,002127 CH EQUITY,南极人＋,Official Store,Mens's Branded Apparel/精品男装,Leather Jacket/皮夹克,201708,2017,8,1,501
Stock,Gujing Distillery,000596 CH EQUITY,古井,3rd Party,Wine/美酒,Chinese Liquor/中国白酒,201707,2017,7,148,29433
