BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
45541,KUKa/顾家家居,Kuka Home/顾家家居,顾家家居,Jason Furniture,603816 CH EQUITY,50036057,家具辅料,585,50099.0
30116,CARTELO/卡帝乐鳄鱼,Cartelo/卡帝乐鳄鱼,卡帝乐鳄鱼,NanJi E-Commerce,002127 CH EQUITY,55134004,钥匙包,52,3638.0
80884,多喜爱,Dohia/多喜爱,多喜爱,Dohia home,002761 CH EQUITY,54310432,床品配件,60,7740.0
30653,MeiLing/美菱,MeiLing/美菱,美菱,Hefei Meiling,000521 CH EQUITY,50924011,风扇,45952,3754045.4
21929,HYUNDAI/现代,HYUNDAI/现代,现代,Konka,000016 CH EQUITY,55842007,智能手表,702,155930.0
21539928,Bravo/馨而乐,Bravo/馨而乐,馨而乐,Fuanna,002327 CH EQUITY,52332001,其他多件套,8,14662.0
30641,Changhong/长虹,Changhong/长虹,长虹,Changhong,600839 CH EQUITY,54300116,多媒体音箱,18,2982.0
152386789,COYEEE/加一尚品,COYEEE/加一尚品,加一尚品,Huijie,002763 CH EQUITY,55044005,文胸套装,21050,6205176.0
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,55418006,立领大衣,806,272885.0
10858,TCL,TCL,TCL,TCL Group,000100 CH EQUITY,54294374,合约购机,192,41168.0
11714362,BE＆CHEERY/百草味,BE＆CHEERY/百草味,百草味,Haoxiangni Jujube,002582 CH EQUITY,54308574,奶酪/奶片,0,0.0
11714362,BE＆CHEERY/百草味,BE＆CHEERY/百草味,百草味,Haoxiangni Jujube,002582 CH EQUITY,54308573,豆干零食,112645,2537999.099999998
11714362,BE＆CHEERY/百草味,BE＆CHEERY/百草味,百草味,Haoxiangni Jujube,002582 CH EQUITY,54308571,果冻布丁,7901,143374.9
11714362,BE＆CHEERY/百草味,BE＆CHEERY/百草味,百草味,Haoxiangni Jujube,002582 CH EQUITY,54308570,硬糖/软糖/年节糖,50191,1013985.8999999999
30822,Flyco/飞科,Flyco/飞科,飞科,Shanghai Flyco,603868 CH EQUITY,54296360,电动剃须刀,1023606,99417097.0
116656429,Saturday/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54298540,游戏摇杆,26500,339200.0
