BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
76860586,Chalkis/中基,Chalkis/中基,Chalkis/中基,Chalkis Health,000972 CH EQUITY,54290798,营养保健,168,57594.0
820082246,马克斯威酒庄,马克斯威,马克斯威酒庄,Huzhu Barley Wine,002646 CH EQUITY,54308789,进口葡萄酒,2,316.0
269188261,ANNAKRO/安娜蔻,Annakro/安娜蔻,ANNAKRO/安娜蔻,Anzheng Fashion,603839 CH EQUITY,54290107,女装,7750,3001296.0
223580545,WITHSONG/唯颂,With Song/唯颂,WITHSONG/唯颂,ELLASSAY,603808 CH EQUITY,54294290,箱包,7,2083.0
820082246,马克斯威酒庄,马克斯威,马克斯威酒庄,Huzhu Barley Wine,002646 CH EQUITY,54996010,美酒,2,316.0
26846034,明牌珠宝,明牌珠宝（MINGR 明）,明牌珠宝,Ming Jewelry,002574 CH EQUITY,55558010,足金饰品,1940,2242084.82
269188261,ANNAKRO/安娜蔻,Annakro/安娜蔻,ANNAKRO/安娜蔻,Anzheng Fashion,603839 CH EQUITY,54288728,女T恤,510,157211.0
604312004,九洲（电子）,JEZETEK/九洲（电子）,九洲（电子）,Jiuzhou,000801 CH EQUITY,54300004,3C数码配件,0,0.0
604312004,九洲（电子）,JEZETEK/九洲（电子）,九洲（电子）,Jiuzhou,000801 CH EQUITY,54288557,影音视听,1,9.9
269188261,ANNAKRO/安娜蔻,Annakro/安娜蔻,ANNAKRO/安娜蔻,Anzheng Fashion,603839 CH EQUITY,54288726,T恤,510,157211.0
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,54288004,男装,159,172288.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,55558010,足金饰品,2324,1465940.5
3560008,速美,速美超级家,速美,Dong Yi Ri Sheng,002713 CH EQUITY,55784005,局部装修,1,100.0
4146697,Me&City,Me&City,Me&City,Metersbonwe,002269 CH EQUITY,54304819,女鞋,53,17227.0
3229544,天然元,Onlly/天然元,天然元,Onlly,600530 CH EQUITY,,,212,77507.0
239680607,MarkorFurnishings/美克·美家,美克美家,MarkorFurnishings/美克·美家,Markor International,600337 CH EQUITY,54312026,灯饰,0,0.0
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,54290107,女装,85,75608.0
3560008,速美,速美超级家,速美,Dong Yi Ri Sheng,002713 CH EQUITY,55748006,局部改造,1,100.0
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,54308009,棒球帽,0,0.0
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,54288726,T恤,57,52732.0
10273819,屯河,COFCO Tunhe/中粮屯河,屯河,COFCO Tunhe,600737 CH EQUITY,55006007,休闲零食,35,5057.8
1137274781,南极人＋,南极人＋,南极人＋,NanJi E-Commerce,002127 CH EQUITY,54288004,男装,680,117789.0
678464663,乐倍康,Lebilp/乐倍康,乐倍康,Dohia home,002761 CH EQUITY,54290107,女装,830,112831.0
78005572,Alliance Hao Food/联豪食品,联豪食品,Alliance Hao Food/联豪食品,Shanghai Maling,600073 CH EQUITY,54302681,厨房餐饮,29,287.1
3979123,lonkey/浪奇,高富力,lonkey/浪奇,Lonkey Industrial,000523 CH EQUITY,54302681,厨房餐饮,1491,18555.899999999998
26846034,明牌珠宝,明牌珠宝（MINGR 明）,明牌珠宝,Ming Jewelry,002574 CH EQUITY,55566012,K金饰品,829,395275.18000000005
10273819,屯河,COFCO Tunhe/中粮屯河,屯河,COFCO Tunhe,600737 CH EQUITY,54990011,茶冲调,261,39355.2
92530,GE/通用电气,GE Appliance,GE/通用电气,Haier,600690 CH EQUITY,54300189,电工五金,7664,301830.6
10273819,屯河,COFCO Tunhe/中粮屯河,屯河,COFCO Tunhe,600737 CH EQUITY,55012006,粮油调味,22,660.0
223580545,WITHSONG/唯颂,With Song/唯颂,WITHSONG/唯颂,ELLASSAY,603808 CH EQUITY,54290107,女装,1400,695750.0
92530,GE/通用电气,GE Appliance,GE/通用电气,Haier,600690 CH EQUITY,54312951,厨房电器,93,74439.0
295212035,MICHELLE MOISSAC/摩萨克,MICHELLE MOISSAC/摩萨克,MICHELLE MOISSAC/摩萨克,Anzheng Fashion,603839 CH EQUITY,54290107,女装,228,62495.0
80881,梦洁,梦洁家纺,梦洁,Mendale Home,002397 CH EQUITY,54310358,床上用品,22108,9708707.3
76860586,Chalkis/中基,Chalkis/中基,Chalkis/中基,Chalkis Health,000972 CH EQUITY,55006007,休闲零食,4,158.0
4536992,古越龙山,沈永和,古越龙山,Guyuelongshan,600059 CH EQUITY,54996010,美酒,37613,3033230.249999999
4536831,露露,Lolo/露露,露露,Chengde Lolo,000848 CH EQUITY,54308684,果味饮料,10208,783268.3
295212035,MICHELLE MOISSAC/摩萨克,MICHELLE MOISSAC/摩萨克,MICHELLE MOISSAC/摩萨克,Anzheng Fashion,603839 CH EQUITY,54288726,T恤,67,16630.0
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,54306974,服饰配件,4,1220.0
15674020,it michaa,It MICHAA,it michaa,Semir,002563 CH EQUITY,54288726,T恤,43,15197.0
239680607,MarkorFurnishings/美克·美家,美克美家,MarkorFurnishings/美克·美家,Markor International,600337 CH EQUITY,54302965,家具,1087,4215537.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,55586014,铂金饰品,638,593732.6599999999
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288536,红蓝宝石,11,24189.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288537,托帕石,10,4430.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288538,其他天然宝石,6,6294.0
10273819,屯河,COFCO Tunhe/中粮屯河,屯河,COFCO Tunhe,600737 CH EQUITY,54308749,辣椒/咖喱,22,660.0
29400,北京手表,Beijing/北京手表,北京手表,Fiyta,000026 CH EQUITY,,,43915,8351101.179999999
820082246,马克斯威酒庄,马克斯威,马克斯威酒庄,Huzhu Barley Wine,002646 CH EQUITY,54310650,进口食品,2,316.0
